100-99:
3	2	1	2	
2	1	0	1	
2	1	0	1	
1	0	1	0	
1	1	0	1	
0	0	1	0	
0	0	1	0	
0	0	1	0	
0	0	0	1	
0	1	0	1	
100-100:
0	0	1	0	
0	0	1	0	
1	0	0	1	
0	0	0	0	
0	0	1	0	
0	0	1	0	
1	0	0	1	
0	0	0	1	
0	0	1	0	
0	1	0	0	
100-200:
0	0	1	0	
0	0	0	1	
0	0	1	0	
0	0	0	1	
0	0	0	0	
0	0	0	1	
0	1	0	1	
0	0	1	0	
0	1	0	1	
0	0	1	0	
100-500:
0	1	0	1	
0	1	1	0	
0	0	1	0	
0	0	1	0	
0	0	0	1	
0	0	1	1	
0	0	1	1	
0	0	1	1	
0	0	1	0	
0	0	0	1	
100-1000:
0	1	0	1	
0	1	0	1	
0	1	0	0	
0	1	0	0	
0	0	0	1	
0	1	0	1	
0	1	0	0	
0	0	0	1	
0	1	0	0	
0	0	0	1	
100-2000:
1	0	1	0	
0	1	0	1	
0	1	0	0	
0	1	0	1	
0	1	0	0	
0	1	0	1	
0	1	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
100-4000:
0	1	0	1	
0	1	1	0	
0	1	0	0	
0	1	0	0	
0	1	0	1	
0	1	0	0	
0	1	0	1	
1	0	1	0	
0	1	0	0	
0	1	0	1	
100-4950:
0	2	0	0	
0	1	0	1	
0	1	1	0	
0	2	0	0	
0	1	1	0	
0	1	1	0	
0	2	0	0	
1	1	0	1	
0	1	0	1	
0	1	0	1	
1000-999:
10	0	1	0	
9	0	1	0	
9	1	0	0	
9	0	1	0	
10	0	0	1	
9	1	0	0	
10	0	0	1	
9	0	1	0	
9	0	0	0	
9	0	0	1	
1000-1000:
9	1	0	0	
9	0	0	0	
10	0	0	0	
9	0	1	0	
10	0	0	1	
9	1	0	0	
10	0	0	1	
9	0	0	0	
9	0	1	0	
10	0	0	1	
1000-2000:
12	1	0	0	
8	1	0	1	
8	0	1	0	
8	1	0	0	
8	1	0	0	
8	1	0	1	
8	1	0	1	
8	1	0	1	
8	1	0	1	
8	1	0	1	
1000-5000:
8	1	1	1	
8	2	0	2	
9	1	1	1	
8	1	1	1	
8	2	0	1	
8	2	0	1	
8	1	1	1	
8	2	0	1	
8	2	0	2	
8	2	0	1	
1000-10000:
8	3	1	1	
8	4	1	1	
12	3	1	2	
8	3	1	2	
9	3	1	1	
8	3	1	2	
8	3	1	1	
8	3	1	2	
8	3	1	2	
8	3	1	1	
1000-50000:
9	21	3	4	
8	22	3	4	
8	22	3	4	
8	22	2	5	
8	21	3	5	
9	21	3	4	
9	22	3	5	
9	21	3	5	
9	21	2	5	
8	22	3	4	
1000-100000:
8	53	6	10	
8	50	5	9	
8	51	5	10	
8	53	6	10	
8	51	5	9	
8	51	4	9	
8	51	6	9	
8	53	5	10	
8	51	5	9	
8	51	6	9	
1000-200000:
9	136	16	25	
9	136	15	24	
8	133	16	25	
8	137	16	25	
8	136	18	28	
8	131	15	27	
9	135	15	30	
9	132	16	28	
10	136	16	27	
9	139	17	28	
1000-400000:
8	343	38	60	
9	356	42	60	
8	356	43	63	
8	364	42	59	
7	337	41	57	
7	331	40	58	
7	356	22	57	
9	350	44	62	
9	369	44	60	
8	345	42	61	
1000-499500:
11	447	53	73	
11	441	53	72	
14	456	26	72	
14	485	55	77	
11	463	54	75	
11	447	55	76	
12	451	53	73	
12	462	55	75	
12	438	53	73	
12	463	58	83	
10000-9999:
867	4	3	4	
1221	3	4	3	
864	3	4	4	
861	3	4	3	
863	3	4	4	
963	3	3	4	
1319	3	4	3	
852	3	4	3	
855	3	4	3	
1267	3	3	4	
10000-10000:
853	3	4	3	
855	4	4	3	
840	4	3	3	
853	4	3	4	
955	4	3	4	
853	3	4	3	
855	4	4	3	
972	3	4	3	
853	3	3	4	
862	4	4	3	
10000-20000:
963	8	6	7	
853	9	6	7	
853	8	6	8	
